Number of days:,Number of animals,Number of grass,Average energy of living animals,Average lifespan of dead animals,Number of unoccupied fields
105,145.0,8.0,23.55862068965517,7.315107822418213,119.0
106,151.0,9.0,21.933774834437084,7.286931991577148,117.0
107,157.0,9.0,20.656050955414013,7.281709671020508,110.0
108,161.0,8.0,19.70186335403727,7.26851224899292,108.0
109,161.0,7.0,19.4472049689441,7.235855579376221,111.0
110,152.0,7.0,19.56578947368421,7.268096446990967,114.0
111,148.0,7.0,19.756756756756758,7.318811893463135,107.0
112,138.0,8.0,19.768115942028984,7.295262813568115,113.0
113,127.0,5.0,23.401574803149607,7.24920129776001,118.0
114,108.0,4.0,28.055555555555557,7.237766742706299,125.0
115,96.0,4.0,31.177083333333332,7.24396276473999,133.0
116,85.0,4.0,35.44705882352941,7.297794342041016,135.0
117,81.0,5.0,36.80246913580247,7.31447696685791,138.0
118,86.0,7.0,34.51162790697674,7.335956573486328,139.0
119,93.0,6.0,33.29032258064516,7.357659816741943,136.0
120,100.0,4.0,33.4,7.356197357177734,133.0
121,96.0,3.0,35.84375,7.369552135467529,134.0
122,97.0,4.0,35.27835051546392,7.375222206115723,134.0
123,94.0,5.0,34.88297872340426,7.386470794677734,133.0
124,97.0,5.0,33.670103092783506,7.392857074737549,134.0
125,102.0,4.0,33.19607843137255,7.429236888885498,134.0
126,109.0,4.0,30.91743119266055,7.437355041503906,131.0
127,119.0,5.0,26.949579831932773,7.430795669555664,128.0
128,125.0,6.0,24.504,7.426445484161377,125.0
129,124.0,7.0,23.669354838709676,7.396033763885498,115.0
130,135.0,8.0,20.97037037037037,7.384311676025391,109.0
131,131.0,7.0,22.732824427480917,7.393095970153809,121.0
132,119.0,6.0,25.327731092436974,7.38178825378418,122.0
133,107.0,6.0,27.55140186915888,7.3709940910339355,125.0
134,93.0,7.0,30.35483870967742,7.356797218322754,131.0
135,85.0,6.0,35.23529411764706,7.369009494781494,143.0
136,74.0,6.0,41.445945945945944,7.381655216217041,143.0
137,73.0,6.0,42.38356164383562,7.437860488891602,147.0
138,79.0,8.0,36.860759493670884,7.436420917510986,142.0
139,84.0,10.0,33.023809523809526,7.438871383666992,135.0
140,86.0,9.0,33.91860465116279,7.486486434936523,134.0
141,86.0,8.0,35.47674418604651,7.47673225402832,135.0
142,75.0,6.0,43.626666666666665,7.456131458282471,136.0
143,73.0,8.0,42.10958904109589,7.45120096206665,140.0
144,77.0,9.0,39.79220779220779,7.465613842010498,140.0
145,78.0,8.0,41.11538461538461,7.458883285522461,136.0
146,78.0,8.0,41.44871794871795,7.467644214630127,141.0
147,80.0,8.0,40.9875,7.459296703338623,146.0
148,88.0,10.0,35.02272727272727,7.464626312255859,137.0
149,90.0,11.0,34.31111111111111,7.472055912017822,134.0
150,89.0,10.0,37.21348314606742,7.445932388305664,131.0
151,91.0,10.0,36.362637362637365,7.4395060539245605,133.0
152,81.0,8.0,44.04938271604938,7.424938678741455,141.0
153,83.0,10.0,40.36144578313253,7.429337024688721,137.0
154,86.0,9.0,40.91860465116279,7.453883647918701,135.0
155,78.0,9.0,45.833333333333336,7.4464802742004395,139.0
156,72.0,10.0,49.94444444444444,7.460948944091797,139.0
157,70.0,11.0,51.457142857142856,7.467080116271973,144.0
158,68.0,12.0,52.25,7.490978240966797,142.0
159,69.0,8.0,57.7536231884058,7.513027191162109,139.0
160,75.0,8.0,54.36,7.508041858673096,140.0
161,76.0,8.0,54.5921052631579,7.497645854949951,150.0
162,84.0,6.0,52.30952380952381,7.495300769805908,142.0
163,88.0,6.0,51.42045454545455,7.535831451416016,137.0
164,92.0,6.0,49.98913043478261,7.537599086761475,129.0
165,102.0,4.0,47.36274509803921,7.531468391418457,132.0
166,106.0,3.0,45.95283018867924,7.529466152191162,133.0
167,114.0,4.0,41.833333333333336,7.529112815856934,133.0
168,121.0,4.0,39.553719008264466,7.515165328979492,124.0
169,130.0,5.0,35.13846153846154,7.515567779541016,122.0
170,149.0,5.0,30.503355704697988,7.528982162475586,121.0
171,158.0,6.0,27.28481012658228,7.545331001281738,109.0
172,173.0,3.0,25.890173410404625,7.538773536682129,112.0
173,174.0,4.0,24.155172413793103,7.529228210449219,110.0
174,175.0,6.0,22.154285714285713,7.50088357925415,103.0
175,175.0,6.0,21.588571428571427,7.49540901184082,105.0
176,162.0,5.0,23.265432098765434,7.476088047027588,106.0
177,156.0,5.0,23.762820512820515,7.493611812591553,115.0
178,150.0,6.0,23.506666666666668,7.491568088531494,111.0
179,145.0,4.0,25.020689655172415,7.485189914703369,119.0
180,145.0,5.0,24.344827586206897,7.514060974121094,116.0
181,137.0,5.0,25.226277372262775,7.514344215393066,119.0
182,125.0,7.0,25.792,7.488428592681885,118.0
183,108.0,7.0,29.62962962962963,7.482135772705078,121.0
184,108.0,6.0,30.074074074074073,7.500399589538574,120.0
185,108.0,4.0,31.574074074074073,7.505760669708252,127.0
186,111.0,4.0,30.45045045045045,7.505342483520508,129.0
187,121.0,4.0,27.884297520661157,7.510453701019287,131.0
188,125.0,5.0,26.368,7.5376176834106445,128.0
189,132.0,4.0,25.674242424242426,7.530397415161133,125.0
190,136.0,5.0,24.205882352941178,7.525174140930176,119.0
191,139.0,6.0,22.446043165467625,7.520937442779541,119.0
192,152.0,8.0,18.519736842105264,7.516079425811768,112.0
193,150.0,7.0,18.7,7.496203422546387,110.0
194,157.0,8.0,15.993630573248408,7.496039390563965,107.0
195,167.0,7.0,14.598802395209582,7.505062103271484,109.0
196,153.0,9.0,13.777777777777779,7.4681243896484375,108.0
197,129.0,8.0,16.17829457364341,7.440423965454102,120.0
198,102.0,8.0,20.34313725490196,7.464646339416504,129.0
199,85.0,8.0,24.55294117647059,7.4955244064331055,127.0
200,72.0,8.0,29.375,7.536984443664551,141.0
201,65.0,9.0,32.16923076923077,7.5488667488098145,143.0
202,61.0,10.0,33.47540983606557,7.547636032104492,148.0
203,56.0,9.0,39.75,7.555203914642334,150.0
204,55.0,9.0,42.30909090909091,7.5531392097473145,154.0
205,54.0,10.0,43.05555555555556,7.555088996887207,157.0
206,53.0,9.0,47.283018867924525,7.565596580505371,155.0
207,52.0,9.0,49.34615384615385,7.599651336669922,154.0
208,50.0,10.0,50.56,7.592695713043213,153.0
209,53.0,12.0,46.716981132075475,7.596527576446533,154.0
210,62.0,14.0,38.354838709677416,7.597014904022217,149.0
211,65.0,16.0,34.784615384615385,7.609840393066406,148.0
212,60.0,16.0,39.266666666666666,7.620296955108643,149.0
213,61.0,14.0,42.77049180327869,7.626248836517334,148.0
Average,22657.0,2044.0,8268.473361243136,1476.1023962497711,27685.0
